given_name,family_name,date_of_birth,place_of_birth
Grace,Bruce,1986-10-08,Belfast
Sidney,Graham,1846-09-26,Galashiels
Nancy,Millar,1919-11-29,Hawick
Joseph,Stewart,1929-02-07,Leven
Muriel,Chandler,1881-06-07,Perth
Edith,Cunningham,1977-02-12,Selkirk
John,Duff,1918-03-14,Ballymoney
Ada,Humphreys,1847-02-04,Barrhead
Sarah,Booth,1849-03-25,Forres
Olive,Currie,1848-04-02,Stonehaven
Gladys,Williamson,1847-08-21,Perth
Doris,Rogerson,1911-08-28,Thurso
James,Wood,1870-10-28,Falkirk
Ruth,Humphreys,1949-01-29,Cupar
Albert,Stevenson,1950-03-09,Fraserburgh
Jonathan,Walker,1889-03-02,Bellshill
Richard,Hetherington,1985-06-27,Anstruther
Janet,Robertson,1898-03-24,Kirkintilloch
Elsie,Wallace,1888-07-09,Kirkcaldy
James,Clements,1884-02-09,Airdrie
Florence,Bentham,1904-03-25,Inverness
Mary,Gray,1901-01-20,Rothesay
Doris,Craig,1898-01-28,Kirkwall
Janet,Grant,1889-06-25,Belfast
Anne,Ghillyer,1916-08-02,Musselburgh
Catherine,Beetham,1870-05-03,Coatbridge
Robert,Ross,1874-01-20,Paisley
Ada,Bell,1960-02-19,Newtownards
Jose,Styles,1903-03-08,Peterhead
Samuel,Hetherington,1936-07-27,Dumbarton
Harold,Campbell,1925-06-14,Stonehaven
Hilda,Smith,1893-12-14,Londonderry
Anne,Williamson,1891-12-09,Forres
Doris,Wallace,1965-09-24,Omagh
Susan,Smith,1900-05-30,Airdrie
Agnes,Booth,1865-03-21,Dundee
Sean,Jeffery,1901-10-02,Ballymoney
Arthur,Wallace,1857-04-29,Huntly
Henry,Shaw,1921-05-12,Forfar
Alan,Hay,1895-03-15,Falkirk
Alexander,Wright,1917-07-24,Larne
Steven,Young,1978-09-26,Lisburn
Olive,Bennett,1844-12-15,Dundee
Peter,Shaw,1977-06-03,Newtownards
Sidney,Helm,1936-05-25,Ayr
Peter,Bentham,1963-01-17,Keith
Alan,Black,1941-03-30,Ayr
Frederick,Allan,1895-07-13,Motherwell
Winifred,Findlay,1920-09-07,Dundee
Sidney,Ross,1859-03-16,Musselburgh
Jonathan,Wallace,1968-10-17,Hamilton
Ada,Campbell,1916-04-14,Campbeltown
Christopher,Hutchinson,1842-03-01,Elgin
Margaret,Grant,1976-12-20,Langholm
Stanley,Marshall,1883-10-03,Larne
Henry,Dixon,1876-07-13,Lerwick
Charles,Styles,1876-01-01,Helensburgh
Philip,Black,1842-11-19,Armagh
Michael,Crawford,1861-08-12,Campbeltown
Agnes,Hyam,1840-08-30,Linlithgow
Nancy,Molnar,1853-01-09,Newton Stewart
George,Jones,1951-09-03,Kirkcaldy
Helen,Mitchell,1841-04-30,Blairgowrie
Winifred,Grant,1888-06-29,Castle Douglas
Samuel,Clark,1980-04-02,Port Glasgow
Mabel,Clark,1986-06-19,Stonehaven
Susan,Bennett,1866-11-27,Newry
Jean,Scott,1963-05-04,Dumfries
Christopher,Munro,1932-04-01,Dungannon
Ronald,Hunter,1984-11-19,Thurso
Nancy,Hutchinson,1966-02-25,Carluke
Amos,Norman,1967-04-02,Hawick
Kathleen,Hay,1852-05-25,Leven
Olive,Young,1978-07-19,Kirkcaldy
Donald,Johnston,1939-05-26,Castle Douglas
Jose,Hyam,1854-10-03,Bridge of Allan
Peter,Bentham,1864-08-13,Hamilton
Frederick,Hamilton,1904-03-28,Glasgow
Elsie,Cash,1955-06-29,Bathgate
Agnes,Duncan,1847-07-08,Arbroath
Andrew,Clark,1897-12-05,Tillicoultry
Colin,Walker,1883-08-25,Omagh
Kathleen,Penney,1849-06-13,Cupar
Richard,Duff,1850-03-12,Selkirk
Gladys,Hay,1927-12-09,Tillicoultry
Doris,Henderson,1946-01-05,Perth
Patrick,Morrison,1843-03-31,Golspie
Helen,Duff,1941-05-18,Dunfermline
Elsie,Farrow,1968-08-23,Ardrossan
Albert,Denton,1874-09-09,Port Glasgow
Peter,Humphreys,1936-11-07,Alloa
Christopher,Campbell,1848-04-16,Dunfermline
Helen,Henderson,1946-03-31,Belfast
Florence,Johnston,1916-12-03,Carrickfergus
Peter,Hunter,1923-03-10,Invergordon
Lily,Cash,1987-08-08,Arbroath
Jonathan,Findlay,1988-01-26,Annan
Sarah,Watt,1948-08-15,Greenock
Robert,MacDonald,1924-04-24,Blairgowrie
Gladys,Wallace,1985-01-22,Dumfries
Iris,Dixon,1898-05-07,Invergordon
Albert,Allan,1932-06-27,Stonehaven
Kathleen,Thomson,1848-02-17,Anstruther
Jose,Millar,1855-04-17,Carluke
Doris,Stewart,1956-06-16,Huntly
Ronald,Smith,1845-01-29,Cookstown
Peter,Williamson,1927-08-02,Bridge of Allan
Sarah,Cunningham,1844-03-22,Ardrossan
Agnes,Hopkins,1886-09-10,Musselburgh
Violet,MacDonald,1897-06-28,Lerwick
Catherine,MacDonald,1926-11-16,Annan
Jane,Cunningham,1899-05-15,Motherwell
Sidney,Bennett,1879-08-02,Portadown
Muriel,Williamson,1978-02-26,Dunfermline
Iris,Cash,1854-04-17,Wishaw
Mary,Barth,1941-01-07,Oban
Mary,Venters,1946-12-25,Bathgate
Dorothy,Hyam,1844-12-09,Banbridge
Michael,Duff,1898-11-15,Strabane
James,Taylor,1980-05-19,Buckie
Ronald,Taylor,1854-12-14,Blairgowrie
Edward,Findlay,1908-06-22,Perth
Kathleen,Hutchinson,1984-08-06,Anstruther
Jean,Graham,1968-08-12,Haddington
Hilda,Humphreys,1967-06-29,Dalry
Grace,Joynson,1975-07-23,Perth
Richard,Williams,1881-05-15,Ardrossan
Andrew,Molnar,1903-05-24,Ardrossan
Norman,Denton,1943-09-01,Armagh
Samuel,Joynson,1844-08-16,Campbeltown
Doris,Milne,1874-09-13,Motherwell
Robert,Dixon,1921-04-20,Edinburgh
Donald,Williams,1878-11-24,Carluke
Janet,Booth,1982-12-24,Lanark
Doris,Styles,1955-06-24,Inverness
Ada,Ferguson,1922-09-26,Newtownards
Sidney,Bell,1907-10-22,Hamilton
Helen,Williams,1941-04-11,Selkirk
Mary,Douglas,1943-04-21,Invergordon
Anne,Wallace,1920-09-27,Newtownards
David,Styles,1859-08-13,Kirkcaldy
Edward,Cunningham,1932-12-14,Montrose
Elsie,Joynson,1990-08-11,Huntly
Samuel,Mitchell,1843-02-12,Lanark
Janet,McKay,1931-09-11,Selkirk
Anne,Bruce,1939-12-10,Nairn
Jean,Robertson,1912-12-12,Portadown
Catherine,McKay,1842-03-02,Dundee
Albert,Anderson,1920-02-21,Newton Stewart
Robert,Bennett,1866-06-14,Portadown
Jose,Bennett,1870-05-12,Peebles
Florence,Craig,1937-12-22,Invergordon
Susan,Ghillyer,1860-10-30,Blairgowrie
Iris,Mclaughlan,1948-01-22,Strabane
Iris,Ross,1960-10-18,Strabane
Ronald,Hutchinson,1847-05-20,Kirkwall
Sean,Anderson,1945-11-16,Montrose
Mabel,Millar,1916-10-18,Belfast
Beatrice,Bell,1847-02-26,Thurso
Helen,Rogerson,1913-04-20,Hawick
William,Latham,1858-08-19,Enniskillen
Hugh,Bentham,1881-07-10,Dromore
Janet,Ferguson,1911-01-14,Dufftown
Patrick,Milne,1911-05-12,Wishaw
Sidney,Helm,1935-04-14,Fraserburgh
Richard,Simpson,1904-11-21,Coatbridge
Susan,Marshall,1987-07-15,Buckie
Beatrice,Cunningham,1915-11-29,Peebles
John,Kennedy,1909-08-16,Wishaw
Nellie,Williamson,1944-06-21,Jedburgh
Alexander,Mclaughlan,1890-08-10,Alloa
Violet,Currie,1887-03-14,Stirling
Arthur,Latham,1908-07-31,Lockerbie
Jane,Cunningham,1925-04-19,Oban
Margaret,Wallace,1936-03-29,Bridge of Allan
George,Johnston,1956-11-26,Dalkeith
Josephine,Grant,1988-11-08,Strabane
William,Robertson,1895-11-25,Portadown
William,Robertson,1969-03-13,Strabane
Grace,Renshaw,1896-07-31,Kirkcaldy
Anne,Jones,1946-08-27,Carluke
Joseph,Bell,1906-12-01,Wishaw
Thomas,Rogerson,1872-08-04,Wishaw
Jose,Bell,1895-12-29,Montrose
Dorothy,Denton,1952-11-03,Strabane
Dorothy,Norman,1971-06-19,Blairgowrie
Janet,Wallis,1964-07-08,Alloa
Margaret,Wallis,1860-02-25,Lanark
Susan,Denton,1861-02-09,Falkirk
Ada,Smith,1930-01-17,Carluke
John,Simpson,1940-03-19,Helensburgh
Alan,Doyle,1948-05-30,Londonderry
Andrew,Beetham,1953-09-05,Langholm
Patrick,Farrow,1894-01-16,Lisburn
Thomas,Currie,1841-08-02,Lisburn
Elizabeth,Clements,1915-11-17,Lisburn
Janet,Wilson,1883-12-27,Keith
Nancy,Currie,1936-02-01,Tillicoultry
Michael,Rogerson,1987-08-24,Bellshill
Winifred,Cunningham,1903-10-22,Dromore
Violet,Williamson,1870-08-05,Milngavie
Sheila,Bentham,1859-05-24,Kirriemuir
William,Morrison,1865-07-03,Peebles
Anne,Bennett,1981-08-23,Lisburn
Charles,Marshall,1959-04-16,Carluke
Anne,Marshall,1921-05-02,Larne
Josephine,Wallis,1862-10-08,Dingwall
Colin,Latham,1904-08-02,Kinross
Hugh,Venters,1941-07-11,Stonehaven
Margaret,Humphreys,1917-01-21,Haddington
Hilda,Duff,1875-10-14,Elgin
John,Walker,1933-06-10,Newry
Steven,Wallace,1976-01-29,Huntly
Jean,Hamilton,1885-07-16,Forfar
Mary,Ross,1857-04-09,Lockerbie
Betty,Wright,1840-10-01,Dundee
Sidney,Hetherington,1906-04-26,Ballymoney
Alice,Fraser,1912-09-01,Musselburgh
Alexander,Burns,1929-12-30,Stornoway
Michael,Jones,1853-07-09,Cupar
Harold,Hay,1919-11-02,Larne
Sheila,Bennett,1986-09-07,Grantown-on-Spey
Albert,Hopkins,1927-05-24,Falkirk
Muriel,Findlay,1983-10-12,Montrose
Iris,Douglas,1969-10-07,Cupar
Steven,Crawford,1985-06-20,St Andrews
Mabel,Bruce,1858-04-26,Belfast
Norman,Mitchell,1981-03-17,Newton Stewart
Violet,Joynson,1908-03-13,Bathgate
Amos,Booth,1945-10-16,Milngavie
Hugh,Helm,1917-12-27,Ballymoney
Kathleen,Farrow,1964-05-16,Stranraer
William,Duncan,1949-03-10,Cupar
Alexander,Helm,1932-08-15,Galashiels
Sean,Hyam,1956-05-04,Brechin
Grace,Simpson,1912-10-24,Kelso
Ronald,Duff,1904-12-28,Greenock
Catherine,Henderson,1873-12-08,Hamilton
Amos,Bennett,1848-12-28,Irvine
Donald,Doyle,1910-12-07,Stirling
Ruth,Black,1943-06-24,Dalkeith
James,Dixon,1984-08-31,Lockerbie
Ronald,McKay,1962-08-23,Wick
Kathleen,Findlay,1986-01-16,Newtownards
Peter,Martin,1863-11-28,Hamilton
Ian,Wallace,1980-12-27,Paisley
Hilda,Humphreys,1924-11-17,Anstruther
Margaret,Farrow,1987-03-13,Castle Douglas
Frederick,McKay,1931-12-25,Bathgate
Philip,Ritchie,1935-03-23,Forfar
Frederick,Styles,1948-09-01,Enniskillen
Betty,Beetham,1967-11-08,Musselburgh
Joseph,Hetherington,1855-10-23,Greenock
Alan,Thomson,1880-08-01,Strabane
Hugh,Jones,1867-03-02,Hawick
Donald,Norman,1971-03-15,Ballymoney
Helen,Duff,1912-12-23,Downpatrick
Jean,Paterson,1909-12-05,Enniskillen
Kathleen,Milne,1870-01-30,Cookstown
Michael,Gordon,1882-02-21,Hamilton
Ian,Mitchell,1856-06-18,Cupar
Andrew,Gordon,1965-11-30,Newtownards
Jane,Booth,1894-01-03,Forfar
Hugh,Burns,1912-04-22,Castle Douglas
Richard,Helm,1867-08-14,Kelso
Margaret,Stevenson,1886-11-03,Coatbridge
Colin,Martin,1934-12-08,Rothesay
Jane,Scott,1909-11-20,Motherwell
Harold,Paterson,1965-08-11,Greenock
Richard,Hay,1917-07-24,Lerwick
Donald,Johnston,1928-07-15,Lisburn
Henry,Scott,1884-11-22,Motherwell
Jonathan,Hetherington,1942-11-19,Ballymoney
John,Anderson,1855-12-18,Langholm
Nellie,Chandler,1879-07-30,Banff
Gladys,Johnston,1975-10-15,Nairn
Andrew,Hay,1947-03-28,Lockerbie
Alan,Styles,1889-02-18,Wick
Stanley,Brown,1896-05-22,Dalkeith
Alan,Mclaughlan,1866-09-25,Falkirk
Amos,Duncan,1948-10-19,Dalkeith
Nancy,Booth,1951-05-27,Kinross
Jonathan,Wright,1886-05-29,Selkirk
Joseph,Paterson,1880-09-11,St Andrews
Philip,Wallis,1959-03-26,Ardrossan
Elizabeth,Fraser,1942-09-01,Kilsyth
Harold,Stevenson,1851-06-28,Enniskillen
Lily,Reid,1933-12-27,Wick
George,Hay,1903-12-21,Wick
Colin,Taylor,1962-01-06,Golspie
Olive,Latham,1892-03-18,Carluke
William,Simpson,1943-08-22,Kirkwall
Colin,Cunningham,1850-07-06,Paisley
Anne,Paterson,1963-06-08,Banff
Arthur,Williamson,1958-04-25,Campbeltown
Daniel,Crawford,1924-08-09,Stranraer
Josephine,Denton,1860-07-10,Newton Stewart
Norman,Hetherington,1867-05-12,Linlithgow
Harold,Black,1983-12-17,Blairgowrie
Elizabeth,Cash,1986-02-15,Cookstown
Sarah,Jeffery,1859-10-25,Ayr
John,Styles,1986-04-21,Carluke
Mabel,Fraser,1915-10-21,Fraserburgh
Hilda,Latham,1899-06-26,Kelso
Leonard,Doyle,1928-04-03,Irvine
Leonard,Wood,1969-05-15,Banff
Sheila,Wright,1916-10-25,Peterhead
Ethel,Young,1979-10-15,Kirkwall
Edward,Thomson,1989-11-10,Campbeltown
Grace,Williams,1903-03-04,Blairgowrie
Kenneth,Clements,1976-06-14,Edinburgh
Leonard,Williamson,1908-08-01,Enniskillen
Josephine,Graham,1916-12-09,Lisburn
Ian,Campbell,1985-06-18,Annan
Ian,Latham,1869-05-29,Helensburgh
Sidney,Ghillyer,1870-04-12,Ardrossan
Ada,Allan,1979-10-09,Tillicoultry
Iris,Williams,1904-03-11,Dalbeattie
Helen,Munro,1925-05-18,Stornoway
Kathleen,Rogerson,1988-11-25,Falkirk
John,Fraser,1883-11-26,Hawick
Ruth,Sinclair,1956-04-12,Forres
Hilda,Booth,1941-12-21,Lockerbie
Daniel,Kennedy,1904-03-25,Belfast
Sarah,Douglas,1849-09-14,West Calder
Winifred,Stewart,1955-06-27,Forres
Ruth,Humphreys,1885-01-29,Kirriemuir
Stanley,Stevenson,1881-12-10,Banbridge
Mabel,Hunter,1951-03-04,Strabane
Olive,Hutchinson,1958-05-31,Langholm
Michael,Henderson,1886-01-21,Galashiels
Ada,Hetherington,1852-06-16,Dalry
Edith,Wood,1985-06-09,Banbridge
Margaret,Duff,1947-01-14,Peebles
Jean,Latham,1877-01-02,Dalbeattie
Harold,Paterson,1878-01-25,Linlithgow
Iris,Helm,1880-03-19,Greenock
Violet,Hutchinson,1951-05-14,Barrhead
Alexander,Wallis,1956-10-10,Dunfermline
Edward,Watt,1911-06-11,Wishaw
Jean,Young,1984-01-03,Newry
Catherine,Cash,1947-07-28,Ballymena
Olive,Stevenson,1841-03-20,Port Glasgow
Josephine,Thomson,1933-10-21,Port Glasgow
Jose,Findlay,1950-02-05,Londonderry
Jonathan,Wallace,1913-08-12,Golspie
Janet,Helm,1956-09-05,Ayr
Anne,Chandler,1885-08-24,Ballymena
Betty,Duncan,1954-06-20,Dumfries
Ronald,Beetham,1982-06-16,Helensburgh
Ronald,Chandler,1853-06-07,Ardrossan
Ethel,Gordon,1852-01-19,Dalkeith
Dorothy,Bennett,1949-07-02,Rothesay
Ronald,Hunter,1856-05-21,Port Glasgow
Susan,Murray,1985-06-06,Thurso
Ronald,Beetham,1972-07-17,Anstruther
Helen,Smith,1887-01-22,Haddington
Florence,McKay,1854-05-26,Thurso
Andrew,Burns,1846-09-14,Ballymena
Donald,Mitchell,1901-02-21,Wishaw
Andrew,Marshall,1878-01-26,Wishaw
Dorothy,Gray,1910-03-01,Peebles
Janet,Williams,1925-01-29,Golspie
Olive,Williams,1905-11-29,Stornoway
Ian,Burns,1849-07-09,Dalkeith
Violet,Wood,1915-03-12,Dalry
Jose,Rogerson,1851-05-25,Falkirk
Hugh,Stewart,1978-05-01,Newry
Ronald,Bentham,1968-09-18,Coleraine
Elizabeth,Latham,1848-09-14,Motherwell
Iris,Findlay,1965-04-17,Fraserburgh
Kathleen,Sinclair,1916-01-02,West Calder
Susan,Walker,1865-02-04,Hawick
Florence,Hyam,1880-03-02,Bridge of Allan
Philip,Ross,1974-05-15,Dalry
Hugh,Hyam,1986-09-03,Banbridge
Beatrice,Clements,1933-10-06,Kelso
Alice,Wright,1972-01-01,Dunfermline
Sarah,Stevenson,1987-11-02,Falkirk
Daniel,Joynson,1892-06-13,Stornoway
Ethel,Burns,1939-04-29,Haddington
Margaret,Cunningham,1942-03-03,Kirkintilloch
Jose,Grant,1942-01-14,Barrhead
Christopher,Millar,1972-12-10,Lerwick
Christopher,Johnston,1933-11-20,Thurso
Edith,Hamilton,1909-07-10,Langholm
Frederick,Robertson,1950-08-24,Larne
Alice,Penney,1978-05-31,Tillicoultry
Doris,Thomson,1852-12-25,Carrickfergus
Susan,Morrison,1869-07-22,Portadown
Ruth,MacDonald,1981-01-29,Leven
Charles,Crawford,1987-06-16,Anstruther
Jane,Crawford,1888-02-02,Dalbeattie
Jean,Johnston,1956-03-26,Dalry
Dorothy,Booth,1886-12-08,Musselburgh
Sean,Hyam,1901-10-15,Wick
Alice,Bennett,1925-02-19,Hawick
Winifred,Williamson,1958-04-18,Langholm
Josephine,Ross,1848-02-08,Alloa
Muriel,Mitchell,1856-09-02,West Calder
George,Stevenson,1891-04-15,Nairn
Harold,Graham,1990-01-02,Oban
Agnes,Fraser,1868-05-03,Port Glasgow
Jean,Penney,1902-06-10,Downpatrick
Lily,Barth,1930-01-14,Falkirk
Janet,Brown,1858-03-27,Downpatrick
Josephine,Wright,1877-08-19,Hamilton
James,Norman,1882-06-08,Ardrossan
Thirza,Scott,1916-06-10,Londonderry
Agnes,Hutchinson,1858-05-11,Aberdeen
Arthur,Anderson,1907-09-04,Airdrie
Sheila,Williamson,1918-03-30,Jedburgh
Lily,Scott,1929-05-29,Glasgow
Ada,Clements,1883-11-20,Peterhead
Thirza,Allan,1863-08-25,Dalry
Helen,Hopkins,1906-12-17,Elgin
Harold,Williams,1876-11-28,Crieff
Florence,Rogerson,1867-05-04,Bridge of Allan
Albert,Gray,1879-01-29,Dromore
Hugh,Stewart,1939-03-15,Wishaw
Gladys,MacDonald,1903-04-10,Cupar
David,Paterson,1973-10-28,Portadown
Muriel,Douglas,1852-06-13,Cupar
Grace,Sinclair,1917-07-16,Dromore
Elizabeth,Cunningham,1913-04-21,Newtownards
Michael,Mitchell,1928-06-01,Kirkcaldy
Donald,Norman,1840-10-13,Banff
Jean,MacDonald,1902-03-30,Coatbridge
Joseph,Clark,1943-03-03,Stornoway
Christopher,Shaw,1888-08-12,Lockerbie
Betty,Findlay,1873-02-08,Crieff
Elizabeth,Douglas,1861-03-19,Glasgow
Elizabeth,McKay,1963-08-03,Strabane
Hilda,McKay,1840-06-30,Helensburgh
Mabel,Campbell,1964-09-08,Perth
Iris,Simpson,1862-01-09,Huntly
John,Marshall,1901-08-20,Armagh
Edward,Gordon,1966-08-24,Helensburgh
Amos,Helm,1887-05-31,Campbeltown
James,Kennedy,1845-12-18,Ballymena
Susan,Wright,1981-04-15,Buckie
Jonathan,MacDonald,1977-03-03,Kinross
Lily,Kennedy,1939-12-23,Huntly
Elsie,Hay,1979-08-08,Banbridge
Iris,Kennedy,1930-07-23,Haddington
Ian,Morrison,1906-12-25,Motherwell
Frederick,Ferguson,1936-01-27,Strabane
Jose,Craig,1911-11-01,Bathgate
Sean,Martin,1924-07-02,Langholm
Edward,Cunningham,1960-10-02,Lerwick
Edith,Hyam,1970-02-09,Coatbridge
Kenneth,Black,1913-08-03,Carrickfergus
Norman,Kerr,1990-08-01,Alloa
Kathleen,McKay,1941-10-11,Glasgow
Helen,Wilson,1863-07-09,Dalry
Lily,Bruce,1920-04-18,Irvine
Steven,Hay,1971-09-08,Downpatrick
Thirza,Murray,1949-03-21,Bridge of Allan
Iris,Bennett,1931-07-09,Lisburn
Muriel,Gray,1970-10-02,Coleraine
Lily,Walker,1870-03-29,Grantown-on-Spey
Andrew,Hopkins,1891-08-13,Bathgate
Grace,Cash,1916-05-30,Lockerbie
Muriel,Reid,1893-09-30,Perth
John,Burns,1969-04-15,Lisburn
Norman,Morrison,1880-06-06,Newtownards
Sarah,Wilson,1931-12-21,Dumfries
Mary,Brown,1954-04-03,Buckie
Susan,Thomson,1864-02-10,Keith
George,Campbell,1989-05-19,Crieff
William,Williamson,1964-03-28,Bangor
Helen,Reid,1954-12-07,Montrose
Henry,Currie,1893-07-25,Invergordon
Albert,Watt,1940-04-15,Invergordon
Jean,Hopkins,1971-12-23,Linlithgow
Andrew,Hopkins,1931-12-26,Arbroath
Violet,Hutchinson,1849-08-10,Enniskillen
Margaret,Duncan,1892-12-16,Peterhead
Anne,Molnar,1938-09-27,Dalbeattie
Elizabeth,Kerr,1967-12-01,Stornoway
Sidney,Cash,1936-11-01,Kirriemuir
Iris,Duncan,1879-03-13,Dromore
Alice,Kennedy,1958-04-30,Bangor
Gladys,Penney,1935-04-03,Peebles
Violet,Stewart,1926-05-19,Armagh
Hilda,Kennedy,1924-09-09,Newtownards
Norman,Campbell,1861-04-03,Wick
Sarah,MacDonald,1902-12-15,Bellshill
Muriel,Hamilton,1859-11-21,West Calder
Harold,Mitchell,1968-04-30,Kinross
Sidney,Hyam,1930-01-19,Glasgow
Stanley,Kerr,1953-12-13,Musselburgh
Beatrice,Fraser,1969-05-27,Kinross
Elizabeth,MacDonald,1861-08-31,Forfar
Sidney,Jones,1982-06-06,Carrickfergus
Margaret,Mclaughlan,1859-08-16,Stranraer
Ada,Wright,1951-10-31,Dalbeattie
Olive,Ferguson,1883-07-03,Ardrossan
Janet,Hetherington,1920-02-06,Montrose
Hugh,Latham,1933-08-14,Stirling
Jane,Currie,1897-06-14,Kirriemuir
Nellie,Joynson,1841-01-15,Greenock
Peter,Joynson,1899-10-11,Ardrossan
Michael,Reid,1942-05-03,Linlithgow
Sean,Jeffery,1869-10-10,Airdrie
Michael,Sinclair,1859-06-16,Kilsyth
Harold,Wilson,1928-11-12,Kinross
Winifred,Campbell,1989-04-17,Cupar
Janet,Williams,1883-02-26,Bathgate
Nancy,Mclaughlan,1966-02-03,Kilsyth
Sarah,Scott,1938-08-29,Edinburgh
Ethel,Farrow,1909-04-05,Portsoy
Ethel,Wood,1870-01-11,Edinburgh
Nancy,Duff,1952-09-29,Falkirk
Albert,Craig,1916-10-12,Kirriemuir
Ada,Paterson,1857-02-22,Peebles
Winifred,Booth,1930-07-29,Kilmarnock
Ian,Hamilton,1990-07-13,Ayr
Mary,Beetham,1900-08-27,Dromore
Elsie,Crawford,1897-09-17,Huntly
Daniel,Booth,1869-12-21,Arbroath
Ian,Wallis,1972-10-10,Wick
Helen,Wallis,1945-12-18,Brechin
Leonard,Smith,1914-05-21,Anstruther
Kenneth,Shaw,1886-08-11,Stornoway
Kenneth,Smith,1942-06-12,Hawick
Doris,Stewart,1932-11-14,Selkirk
George,Reid,1892-10-05,Portadown
Arthur,Kerr,1884-10-04,Ballymoney
Stanley,Beetham,1895-01-14,Carrickfergus
Sarah,Jones,1945-01-12,Edinburgh
Anne,Walker,1849-08-10,Blairgowrie
Jean,McKay,1958-01-03,Musselburgh
Josephine,Ross,1883-03-10,Brechin
Sean,Ross,1872-11-04,Huntly
Doris,Graham,1949-03-30,Strabane
Kathleen,Kennedy,1864-05-03,Milngavie
John,Rogerson,1868-05-03,Keith
Margaret,Penney,1945-04-13,Forres
Amos,Helm,1841-10-27,Lockerbie
Richard,Morrison,1883-07-21,Lerwick
Susan,Walker,1941-01-20,Forfar
Janet,Brown,1973-07-18,Stranraer
Robert,Hetherington,1982-04-19,Coleraine
Olive,Paterson,1844-12-28,Portsoy
Margaret,Wallace,1850-05-24,Dundee
Norman,Barth,1888-01-02,Golspie
Colin,Allan,1970-05-24,Stranraer
Stanley,Craig,1881-01-03,Falkirk
Hugh,Young,1842-04-10,Wick
Ethel,Rogerson,1946-09-10,Jedburgh
Catherine,Henderson,1953-12-29,Aberdeen
Henry,Currie,1944-12-25,Langholm
Doris,Wallis,1887-08-08,Ballymoney
Josephine,Graham,1929-10-20,Buckie
Alan,Munro,1880-06-17,Campbeltown
Elsie,Watson,1898-11-05,Port Glasgow
John,Humphreys,1925-07-03,Aberdeen
Janet,Chandler,1903-10-24,Glasgow
Frederick,Young,1977-02-02,Dundee
Ada,Venters,1871-06-30,Banff
Patrick,Latham,1966-03-13,Portadown
Robert,Helm,1840-09-09,Musselburgh
Ethel,Watson,1909-09-26,Kirkintilloch
Steven,Thomson,1873-06-24,Jedburgh
Jonathan,Allan,1959-09-01,Wishaw
Jose,Mitchell,1923-12-05,Lerwick
Henry,Duff,1942-02-17,Paisley
Susan,Grant,1990-06-03,Kilsyth
Richard,Anderson,1919-07-23,Selkirk
Betty,Young,1964-11-24,Peebles
Janet,Ferguson,1911-03-26,Aberdeen
Sheila,Fraser,1859-10-05,Dumbarton
Leonard,Currie,1966-03-25,Londonderry
Christopher,Millar,1884-09-09,Aberdeen
Harold,MacDonald,1941-08-20,Milngavie
Ian,Crawford,1892-03-25,Stonehaven
Alexander,MacDonald,1924-01-09,Fraserburgh
Lily,Stewart,1856-09-16,Galashiels
Helen,Ghillyer,1893-01-18,Musselburgh
Margaret,Mitchell,1909-10-19,Ayr
Helen,Simpson,1905-08-09,Dungannon
Grace,Wood,1960-10-16,Linlithgow
Ada,Grant,1900-01-06,Dalry
Harold,Kennedy,1917-07-03,Kinross
Helen,Findlay,1972-03-11,Anstruther
Helen,Kerr,1952-09-26,Glasgow
Muriel,Hay,1986-04-27,Coatbridge
Muriel,Murray,1940-03-05,Bridge of Allan
Nellie,Denton,1915-12-26,Nairn
Donald,Barth,1912-12-11,Montrose
Frederick,Wilson,1989-03-09,Stranraer
George,Hunter,1890-10-12,Peebles
Josephine,Paterson,1863-04-15,Dalry
Daniel,Hetherington,1903-02-04,Newton Stewart
Gladys,Jeffery,1853-09-18,Helensburgh
Jonathan,Hyam,1875-11-19,Nairn
Sheila,Graham,1857-09-19,Anstruther
Hugh,Currie,1967-11-24,Dalry
Philip,Penney,1971-01-19,Kilmarnock
Alexander,Craig,1983-03-06,Stirling
Edward,Jones,1847-03-23,Annan
George,Paterson,1897-11-20,Perth
Hugh,Burns,1955-02-25,Huntly
Albert,Denton,1901-09-08,Motherwell
Edward,Fraser,1875-10-05,Langholm
Edward,Barth,1932-09-25,Forfar
Ronald,Clements,1870-08-08,Arbroath
Josephine,Robertson,1878-10-19,Enniskillen
Iris,Campbell,1952-11-03,Kilsyth
Florence,Humphreys,1862-02-27,Blairgowrie
Thomas,McKay,1977-08-23,Dalry
Nellie,Millar,1868-11-05,Dumfries
Jane,Paterson,1882-04-08,Carluke
Colin,Shaw,1956-03-08,Stonehaven
Peter,Styles,1945-05-20,St Andrews
Andrew,Martin,1878-08-12,Stonehaven
Elizabeth,Booth,1864-02-02,Kirkwall
Philip,Simpson,1917-12-29,Edinburgh
Arthur,Rogerson,1984-11-06,Motherwell
Doris,Thomson,1904-11-11,Enniskillen
Alexander,Watson,1851-04-28,Wishaw
Nancy,Shaw,1893-08-13,Dalry
Christopher,Martin,1892-10-02,Linlithgow
John,Bruce,1889-01-28,Dingwall
Samuel,Clements,1975-10-10,Dunfermline
George,Stevenson,1936-11-17,Newton Stewart
Arthur,Robertson,1861-05-23,Milngavie
Mary,Fraser,1873-06-18,Dromore
Ethel,Styles,1954-09-24,Inverness
William,Douglas,1876-06-13,Forres
